id,seenAt,src,mac,rssi,adv_hex,manufacturer_hex,lacisId,productType,productCode
170552,2025-12-15T03:02:30.021761Z,ble,C20C33C798C0,-59,,"{76: b'\x12\x02\x00\x03'}",3003C20C33C798C00096,003,0096
170553,2025-12-15T03:02:30.024691Z,ble,3A85BC46900C,-64,,"{6: b'\x01\t ""Q\x15\xeb\x7f\xd5\x84V\xde\xc9\xadk:\x81\x8c\xe7;\xcaT\x9cWB\x18T'}",30033A85BC46900C0096,003,0096
170554,2025-12-15T03:02:30.045201Z,ble,5859DD9681E3,-60,,"{76: b'\x10\x06@\x1d\x85\x1f<H'}",30035859DD9681E30096,003,0096
170555,2025-12-15T03:02:30.228741Z,ble,405B5E4EF116,-76,,"{76: b'\x10\x07\'\x1f""\xf2\x03\'8'}",3003405B5E4EF1160096,003,0096
170556,2025-12-15T03:02:30.483796Z,ble,5D2F38EC3326,-61,,"{76: b'\x10\x076\x1f\xaf\xd0\x80dx'}",30035D2F38EC33260096,003,0096
170557,2025-12-15T03:02:30.484284Z,ble,FEE0BFF7B631,-60,,"{76: b'\x12\x02\x00\x00'}",3003FEE0BFF7B6310096,003,0096
170558,2025-12-15T03:02:30.982507Z,ble,FAD16419171F,-55,,"{76: b'\x12\x02n\x00\x07\x11\x06\x987\x91b\x00\x88\xe0\x06\xc5V\x040\x0c{\xb2\x13'}",3003FAD16419171F0096,003,0096
170559,2025-12-15T03:02:30.982997Z,ble,2C82964DF50A,-52,,"{6: b'\x01\x0f ""0\x14\xc8\xe7\xa5\x8f\xf99\xa8\xd8T\x0c\xc8_\xb3\x13\xb2\xb3\x18_m`\xf7'}",30032C82964DF50A0096,003,0096
170560,2025-12-15T03:02:31.015933Z,ble,E0F7599A3199,-61,,"{76: b'\x12\x02\x00\x00'}",3003E0F7599A31990096,003,0096
170561,2025-12-15T03:02:31.115925Z,ble,4DA937766688,-74,,"{76: b'\x10\x075\x1f\xc4*\xdc\xbdX'}",30034DA9377666880096,003,0096
170562,2025-12-15T03:02:31.179462Z,ble,6C466A357D2C,-82,,"{76: b'\x10\x052\x1c\xdb3='}",30036C466A357D2C0096,003,0096
170563,2025-12-15T03:02:31.262333Z,ble,4FEA303A8105,-79,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170564,2025-12-15T03:02:31.262898Z,ble,C7D0200AD652,-55,,"{76: b'\x12\x02\x00\x02'}",3003C7D0200AD6520096,003,0096
170565,2025-12-15T03:02:31.293506Z,ble,E2AD03F062E0,-52,,"{76: b'\x12\x02\x00\x02'}",3003E2AD03F062E00096,003,0096
170566,2025-12-15T03:02:31.716058Z,ble,5DCDD744C63F,-85,,"{76: b'\x10\x070\x1f\x02\x96\xfa:8'}",30035DCDD744C63F0096,003,0096
170567,2025-12-15T03:02:31.717239Z,ble,7271434738F8,-74,,,30037271434738F80096,003,0096
170568,2025-12-15T03:02:31.792543Z,ble,710C3B076BBF,-55,,"{76: b'\x10\x05*\x183kz'}",3003710C3B076BBF0096,003,0096
170569,2025-12-15T03:02:31.923293Z,ble,D6A45FE4B760,-71,,"{76: b'\x12\x02\x00\x00'}",3003D6A45FE4B7600096,003,0096
170570,2025-12-15T03:02:32.106259Z,ble,EBC782DAB90F,-69,,"{76: b'\x12\x02\x00\x01'}",3003EBC782DAB90F0096,003,0096
170571,2025-12-15T03:02:32.202345Z,ble,30A9984ED1EC,-86,"{'0000fdee-0000-1000-8000-00805f9b34fb': b'\x00\x10\x00\x01\xdch\x00\x00\x00\x00\x02ZAAF\x03\x05'}",,300330A9984ED1EC0096,003,0096
170572,2025-12-15T03:02:32.385381Z,ble,5DCDD744C63F,-85,,"{76: b'\x10\x070\x1f\x02\x96\xfa:8'}",30035DCDD744C63F0096,003,0096
170573,2025-12-15T03:02:32.385962Z,ble,FD24A5E89866,-52,,"{76: b'\x12\x02\x10\x00'}",3003FD24A5E898660096,003,0096
170574,2025-12-15T03:02:32.809984Z,ble,E3108271FEC5,-46,"{'0000fcb2-0000-1000-8000-00805f9b34fb': b'\x01\x01j\x01'}","{76: b""\x07\x11\x06jXe\x19`\x82\xd1Fc\xa3\x19\xb2\xc3'6Y""}",3003E3108271FEC50096,003,0096
170575,2025-12-15T03:02:33.367337Z,ble,EE1F7E72061E,-57,,"{76: b'\x12\x02\x00\x03'}",3003EE1F7E72061E0096,003,0096
170576,2025-12-15T03:02:33.543961Z,ble,50053D89A4E5,-86,,"{76: b'\x10\x053\x1c3\xd5\xeb'}",300350053D89A4E50096,003,0096
170577,2025-12-15T03:02:33.791574Z,ble,000000000000,-86,,,30030000000000000096,003,0096
